CASO 0:

					4: 275 IOP250T
					4: 298 IOP250T
					4: 303 IOP250T
					4: 304 IOP250T
					4: 296 IOP250T
					4: 299 IOP250T
					4: 296 IOP250T
					4: 299 IOP250T
					4: 297 IOP250T
					4: 301 IOP250T
					4: 301 IOP250T
					4: 300 IOP250T
					4: 300 IOP250T
					4: 300 IOP250T
					4: 298 IOP250T
					4: 300 IOP250T
					4: 311 IOP250T
					4: 298 IOP250T
					4: 298 IOP250T
					4: 299 IOP250T
					4: 303 IOP250T
					4: 301 IOP250T
					4: 297 IOP250T
					4: 300 IOP250T
					4: 298 IOP250T
					4: 301 IOP250T
					4: 298 IOP250T
					4: 298 IOP250T
					4: 303 IOP250T
					4: 298 IOP250T
					4: 301 IOP250T
					4: 291 IOP250T
					4: 299 IOP250T
					4: 294 IOP250T
					4: 296 IOP250T
					4: 303 IOP250T
					4: 296 IOP250T
					4: 295 IOP250T
					4: 298 IOP250T
					4: 296 IOP250T
					4: 297 IOP250T
					4: 296 IOP250T
					4: 295 IOP250T
					4: 297 IOP250T
					4: 293 IOP250T
					4: 297 IOP250T
					4: 297 IOP250T
					4: 296 IOP250T
					4: 294 IOP250T
					4: 296 IOP250T
					4: 295 IOP250T
					4: 296 IOP250T
					4: 299 IOP250T
					4: 297 IOP250T
					4: 303 IOP250T
					4: 298 IOP250T
					4: 295 IOP250T
					4: 299 IOP250T
					4: 294 IOP250T
					4: 297 IOP250T
					4: 298 IOP250T
					4: 294 IOP250T
					4: 267 IOP250T
					4: 286 IOP250T
					4: 287 IOP250T
					4: 285 IOP250T
					4: 295 IOP250T
					4: 298 IOP250T
					4: 298 IOP250T
					4: 286 IOP250T
					4: 299 IOP250T
					4: 293 IOP250T
					4: 299 IOP250T
					4: 295 IOP250T
					4: 299 IOP250T
					4: 295 IOP250T
					4: 297 IOP250T
					4: 296 IOP250T
					4: 298 IOP250T
					4: 296 IOP250T
					4: 294 IOP250T
					4: 298 IOP250T
					4: 294 IOP250T
					4: 299 IOP250T
					4: 298 IOP250T
					4: 300 IOP250T
					4: 301 IOP250T
					4: 296 IOP250T
					4: 293 IOP250T
					4: 301 IOP250T
					4: 297 IOP250T
					4: 300 IOP250T
					4: 294 IOP250T
					4: 296 IOP250T
					4: 296 IOP250T
					4: 297 IOP250T
					4: 295 IOP250T
					4: 296 IOP250T
					4: 307 IOP250T
					4: 300 IOP250T
					4: 295 IOP250T
					4: 299 IOP250T
					4: 296 IOP250T
					4: 296 IOP250T
					4: 296 IOP250T
					4: 296 IOP250T
					4: 298 IOP250T
					4: 297 IOP250T
					4: 293 IOP250T
					4: 298 IOP250T
					4: 295 IOP250T
					4: 272 IOP250T
					4: 277 IOP250T
					4: 279 IOP250T
					4: 295 IOP250T
					4: 298 IOP250T
					4: 296 IOP250T
					4: 295 IOP250T
					4: 295 IOP250T
					4: 296 IOP250T
					4: 294 IOP250T
					4: 295 IOP250T
					4: 287 IOP250T
					4: 295 IOP250T
					4: 299 IOP250T
					4: 297 IOP250T
					4: 298 IOP250T
					4: 250 IOP250T
					4: 298 IOP250T
					4: 274 IOP250T
